#area,CAP,N. Operació,Fase,Data,Referència,Projecte,Aplicació,Import,Saldo,Exercici,Orgànica,Funcional,Econòmica,tercer,Nom terc.,Text lliure,Asc.,Document,Data doc.,Data registre,Nº Registro Factura,,,,,,
9,4,2.20150008156e+11,R,42194.0,22015000485.0,,2015 SG1 9120 4800111,965.0,965.0,2015.0,SG1,9120.0,4800111.0,G07490261,AAVV CAMI DE SES VINYES,"PAGAMEMT  50 %SUBV.A ENTITATS SENSE ÀNIM DE LUCRE PROJ, D'ACTIVITATS QUE AFAVOREIXIN LA DINAMITZACIÓ I PART. CIUTADANA",,,,,,,,,,,
9,4,2.20151000575e+11,R,42060.0,22014000512.0,,2014 SG1 9120 4800111,500.0,500.0,2014.0,SG1,9120.0,4800111.0,G07490261,AAVV CAMI DE SES VINYES,PAGAMENT DEL 50% RESTANT SUBVENCION S ENTITATS SENSE ÀNIM DE LUCRE PARTICIPACIÓ CIUTADANA 2014,2.20150000168e+11,T1/2015,42005.0,42040.0,F/2015/21,,,,,,
9,4,2.20150008154e+11,R,42194.0,22015000485.0,,2015 SG1 9120 4800111,967.0,967.0,2015.0,SG1,9120.0,4800111.0,G07524184,AAVV CAMI DEN BARROTES,"PAGAMEMT  50 %SUBV.A ENTITATS SENSE ÀNIM DE LUCRE PROJ, D'ACTIVITATS QUE AFAVOREIXIN LA DINAMITZACIÓ I PART. CIUTADANA",2.20150000174e+11,AJ01,42016.0,42040.0,F/2015/29,,,,,,
9,4,2.20151000578e+11,R,42060.0,22014000512.0,,2014 SG1 9120 4800111,400.0,400.0,2014.0,SG1,9120.0,4800111.0,G07524184,AAVV CAMI DEN BARROTES,PAGAMENT DEL 50% RESTANT SUBVENCIOS ENTITATS SENSE ÀNIM DE LUCRE PARTICIPACIÓ CIUTADANA 2014,2.20150000176e+11,AJ01,42016.0,42040.0,F/2015/30,,,,,,
9,4,2.20151000572e+11,R,42060.0,22014000512.0,,2014 SG1 9120 4800111,400.0,400.0,2014.0,SG1,9120.0,4800111.0,G07588031,AAVV DALT SANT JOAN,PAGAMENT DEL 50% RESTANT SUBVENCION S ENTITATS SENSE ÀNIM DE LUCRE PARTICIPACIÓ CIUTADANA 2014,2.20150000438e+11,5.0,42005.0,42060.0,F/2015/76,,,,,,
9,4,2.20150008157e+11,R,42194.0,22015000485.0,,2015 SG1 9120 4800111,500.0,500.0,2015.0,SG1,9120.0,4800111.0,G07899420,AAVV ES CANUTELLS,"PAGAMEMT  50 %SUBV.A ENTITATS SENSE ÀNIM DE LUCRE PROJ, D'ACTIVITATS QUE AFAVOREIXIN LA DINAMITZACIÓ I PART. CIUTADANA",2.20150000535e+11,420.0,42005.0,42060.0,F/2015/279,,,,,,
9,4,2.20151000576e+11,R,42060.0,22014000512.0,,2014 SG1 9120 4800111,450.0,450.0,2014.0,SG1,9120.0,4800111.0,G07899420,AAVV ES CANUTELLS,SUBVENCIONS ENTITATS SENSE ÀNIM DE LUCRE PARTICIPACIÓ CIUTADANA 2014,2.20150000537e+11,420.0,42005.0,42060.0,F/2015/280,,,,,,
9,4,2.20150008152e+11,R,42194.0,22015000485.0,,2015 SG1 9120 4800111,500.0,500.0,2015.0,SG1,9120.0,4800111.0,G07140718,AAVV ES GRAU,"PAGAMEMT  50 %SUBV.A ENTITATS SENSE ÀNIM DE LUCRE PROJ, D'ACTIVITATS QUE AFAVOREIXIN LA DINAMITZACIÓ I PART. CIUTADANA",2.20150000539e+11,420.0,42005.0,42060.0,F/2015/281,,,,,,
9,4,2.20151000594e+11,R,42086.0,22014000512.0,,2014 SG1 9120 4800111,500.0,500.0,2014.0,SG1,9120.0,4800111.0,G07140718,AAVV ES GRAU,PAGAMENT DEL 50% RESTANT SUBVENCIÓ  ENTITATS SENSE ÀNIM DE LUCRE PARTICIPACIÓ CIUTADANA 2014,2.20150000541e+11,420.0,42005.0,42060.0,F/2015/282,,,,,,
9,4,2.20151000573e+11,R,42060.0,22014000512.0,,2014 SG1 9120 4800111,400.0,400.0,2014.0,SG1,9120.0,4800111.0,H07780281,AAVV JARDINS DE MALBUGER,PAGAMENT DEL 50% RESTANT SUBVENCION S ENTITATS SENSE ÀNIM DE LUCRE PARTICIPACIÓ CIUTADANA 2014,2.20150000543e+11,421.0,42036.0,42060.0,F/2015/283,,,,,,
9,4,2.20150008155e+11,R,42194.0,22015000485.0,,2015 SG1 9120 4800111,1350.0,1350.0,2015.0,SG1,9120.0,4800111.0,G07459845,AAVV LLUCMAÇANES,"PAGAMEMT  50 %SUBV.A ENTITATS SENSE ÀNIM DE LUCRE PROJ, D'ACTIVITATS QUE AFAVOREIXIN LA DINAMITZACIÓ I PART. CIUTADANA",2.20150000545e+11,421.0,42036.0,42060.0,F/2015/284,,,,,,
3,2,2.20150002424e+11,R,42087.0,22015000369.0,,2015 SP2 3380 2269901,275.0,275.0,2015.0,SP2,3380.0,2269901.0,G07475676,AAVV MOLI D'ES PLA,PAGAMENT SEGON PREMI  CARROSSA PREMIS CARNAVAL 2015,2.20150000547e+11,421.0,42036.0,42060.0,F/2015/285,,,,,,
9,4,2.20151000613e+11,R,42121.0,22014000512.0,,2014 SG1 9120 4800111,500.0,500.0,2014.0,SG1,9120.0,4800111.0,G07475676,AAVV MOLI D'ES PLA,PAGAMENT DEL 50 % RESTANT SUBVENCIOS ENTITATS SENSE ÀNIM DE LUCRE PARTICIPACIÓ CIUTADANA 2014,2.20150000549e+11,421.0,42036.0,42060.0,F/2015/286,,,,,,
9,4,2.20150008159e+11,R,42194.0,22015000485.0,,2015 SG1 9120 4800111,500.0,500.0,2015.0,SG1,9120.0,4800111.0,G07589674,AAVV SA MESQUIDA,"PAGAMEMT  50 %SUBV.A ENTITATS SENSE ÀNIM DE LUCRE PROJ, D'ACTIVITATS QUE AFAVOREIXIN LA DINAMITZACIÓ I PART. CIUTADANA",2.2015000062e+11,T2/2015,42036.0,42060.0,F/2015/302,,,,,,
9,4,2.20151000041e+11,R,42031.0,22014000512.0,,2014 SG1 9120 4800111,500.0,500.0,2014.0,SG1,9120.0,4800111.0,G07589674,AAVV SA MESQUIDA,SUBVENCIOS ENTITATS SENSE ÀNIM DE LUCRE PARTICIPACIÓ CIUTADANA 2014 (PAGAMENT DEL 50 % RESTANT),2.20150000624e+11,279.0,42035.0,42060.0,F/2015/311,,,,,,
9,4,2.20150008151e+11,R,42194.0,22015000485.0,,2015 SG1 9120 4800111,1350.0,1350.0,2015.0,SG1,9120.0,4800111.0,G07203672,AAVV SANT CLIMENT,"PAGAMEMT  50 %SUBV.A ENTITATS SENSE ÀNIM DE LUCRE PROJ, D'ACTIVITATS QUE AFAVOREIXIN LA DINAMITZACIÓ I PART. CIUTADANA",2.20150000626e+11,1.0,42038.0,42060.0,F/2015/312,,,,,,
