#AREA,CAP,N. Operació,Fase,Data,Referència,Projecte,Aplicació,Import,Saldo,Exercici,Orgànica,Programa,Econòmica,Nom terc.,Text lliure,
3,2,2.20130011082e+11,R,41583.0,22013000367.0,,2013 SP2 3210 2120001,89.0,89.0,2013.0,SP2,3210.0,2120001.0,A PALLISER HOGAR SL,CAMARA FOTOS DIGITAL,
3,2,2.20130001622e+11,R,41352.0,22013000800.0,,2013 SP1 3120 2210901,51.22,51.22,2013.0,SP1,3120.0,2210901.0,A PALLISER HOGAR SL,RADIO CD RGA,
3,6,2.20130006552e+11,R,41452.0,22013000825.0,,2013 SP1 3120 6230111,64.95,64.95,2013.0,SP1,3120.0,6230111.0,A PALLISER HOGAR SL,MICROONES,
3,6,2.2013000896e+11,R,41529.0,22013000825.0,,2013 SP1 3120 6230111,59.9,59.9,2013.0,SP1,3120.0,6230111.0,A PALLISER HOGAR SL,REPOSICIO MICROONES,
9,6,2.20130006798e+11,R,41457.0,22013000943.0,,2013 SG4 9311 6230111,159.79,159.79,2013.0,SG4,9311.0,6230111.0,A PALLISER HOGAR SL,DOS CAMARES FOTOS DIGITALS,
1,2,2.20130004116e+11,R,41394.0,22013001044.0,,2013 CM1 1550 2100001,912.15,912.15,2013.0,CM1,1550.0,2100001.0,A PALLISER SA,MATERIAL REPOSICIO TALLER,
1,2,2.2013000421e+11,R,41394.0,22013000421.0,,2013 CM1 1550 2100001,10.62,10.62,2013.0,CM1,1550.0,2100001.0,A PALLISER SA,BROCA TALADRE,
1,2,2.20130004265e+11,R,41394.0,22012003438.0,,2013 CM1 1550 2100001,64.57,64.57,2013.0,CM1,1550.0,2100001.0,A PALLISER SA,MATERIAL REPOSICIO BRIGADA,
1,2,2.20130004351e+11,R,41394.0,22012003022.0,,2013 CM1 1550 2100001,157.46,157.46,2013.0,CM1,1550.0,2100001.0,A PALLISER SA,MATERIAL PER FOCS ILLA DEL REI I ENRAMADA PÇA CONSTITUCIO,
1,2,2.20130004406e+11,R,41394.0,22012003236.0,,2013 CM1 1550 2100001,1708.6,1708.6,2013.0,CM1,1550.0,2100001.0,A PALLISER SA,MATERIAL DIVERS MANTENIMENT VIES PUBLIQUES,
1,2,2.20130005479e+11,R,41422.0,22013001187.0,,2013 CM1 1550 2100001,124.9,124.9,2013.0,CM1,1550.0,2100001.0,A PALLISER SA,MATERIAL NOVA ROTONDA FORT DE L'EAU,
1,2,2.20130005481e+11,R,41422.0,22013001189.0,,2013 CM1 1550 2100001,287.65,287.65,2013.0,CM1,1550.0,2100001.0,A PALLISER SA,MATERIAL REPOSICIO ROTONDA FORT DE L'EAU,
1,2,2.20131000091e+11,R,41302.0,22012002808.0,,2012 CM1 1550 2100001,31.7,31.7,2012.0,CM1,1550.0,2100001.0,A PALLISER SA,REPOSICIO MATERIAL I DESCOMPTE ABONAMENT NÚM 205867 DE 31/05/2012,
1,2,2.20131000107e+11,R,41302.0,22012002825.0,,2012 CM1 1550 2100001,40.26,40.26,2012.0,CM1,1550.0,2100001.0,A PALLISER SA,PINTAR POSTES BANDERES FESTES,
1,2,2.20130004114e+11,R,41394.0,22013001042.0,,2013 CM1 1710 2100001,41.01,41.01,2013.0,CM1,1710.0,2100001.0,A PALLISER SA,REPOSICIO AIXETA PLAÇA EXPLANADA,
1,2,2.20130004207e+11,R,41394.0,22013000419.0,,2013 SG5 1300 2120001,53.11,53.11,2013.0,SG5,1300.0,2120001.0,A PALLISER SA,MATERIAL FONTANERIA POLICIA,
1,2,2.20130005488e+11,R,41422.0,22013001195.0,,2013 SG5 1300 2120001,66.94,66.94,2013.0,SG5,1300.0,2120001.0,A PALLISER SA,MATERIAL POLICIA SANTIAGO,
1,2,2.20130004117e+11,R,41394.0,22013001045.0,,2013 CM1 1695 2120001,127.2,127.2,2013.0,CM1,1695.0,2120001.0,A PALLISER SA,MATERIAL REPOSICIO ENLLUMENAT,
1,2,2.20130004118e+11,R,41394.0,22013001047.0,,2013 CM1 1695 2120001,11.43,11.43,2013.0,CM1,1695.0,2120001.0,A PALLISER SA,TANCADURA I BOTES SEGURETAT,
1,2,2.20130004119e+11,R,41394.0,22013001048.0,,2013 CM1 1695 2120001,139.53,139.53,2013.0,CM1,1695.0,2120001.0,A PALLISER SA,MATERIAL MANTENIMENT EDIFICIS MUNICIPALS,
1,2,2.20130004124e+11,R,41394.0,22013001053.0,,2013 CM1 1695 2120001,123.54,123.54,2013.0,CM1,1695.0,2120001.0,A PALLISER SA,MATERIAL DEPENDENCIES QUARTER SANTIAGO,
1,2,2.20130004229e+11,R,41394.0,22013000436.0,,2013 CM1 1695 2120001,37.87,37.87,2013.0,CM1,1695.0,2120001.0,A PALLISER SA,MATERIAL TALLER I AAVV ANDREA DORIA,
1,2,2.20130004231e+11,R,41394.0,22013000437.0,,2013 CM1 1695 2120001,69.55,69.55,2013.0,CM1,1695.0,2120001.0,A PALLISER SA,MATERIAL PARC PERSONES MAJORS ZONA SANTIAGO,
1,2,2.20130004232e+11,R,41394.0,22013000438.0,,2013 CM1 1695 2120001,665.02,665.02,2013.0,CM1,1695.0,2120001.0,A PALLISER SA,PLAQUES GUIX ADEQUACIO 092 SANTIAGO,
1,2,2.20130004264e+11,R,41394.0,22012003437.0,,2013 CM1 1695 2120001,876.33,876.33,2013.0,CM1,1695.0,2120001.0,A PALLISER SA,MATERIAL DIVERS MANTENIMENT EDIFICIS,
1,2,2.20130004272e+11,R,41394.0,22012003551.0,,2013 CM1 1695 2120001,446.84,446.84,2013.0,CM1,1695.0,2120001.0,A PALLISER SA,MATERIAL MANTENIMENT EDIFICIS MUNICIPALS,
1,2,2.20130004274e+11,R,41394.0,22012003552.0,,2013 CM1 1695 2120001,21.32,21.32,2013.0,CM1,1695.0,2120001.0,A PALLISER SA,MATERIAL PER TOBOGAN ES MURTAR,
